progress_id;project_id;wing_id;floor_id;flat_id;task_id;subtask_id;engineer_id;contractor_id;progress_status_id;progress_percent;start_date;reported_at;last_modified;completion_date;remarks;is_active
1;1;1;7;1;14;373;58;5;5;60.00;2024-01-07;"2024-01-07 10:00:00";"2024-01-07 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
2;1;1;7;1;8;237;54;3;6;80.00;2024-01-08;"2024-01-08 10:00:00";"2024-01-08 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
3;1;1;7;1;7;163;52;5;8;100.00;2024-01-08;"2024-01-08 10:00:00";"2024-01-08 10:00:00";2024-01-08;"Auto-generated progress for flat 1, floor 1.";1
4;1;1;7;1;7;143;14;5;6;80.00;2024-01-08;"2024-01-08 10:00:00";"2024-01-08 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
5;1;1;7;1;3;13;25;2;7;90.00;2024-01-04;"2024-01-04 10:00:00";"2024-01-04 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
6;1;1;7;1;4;32;48;2;5;60.00;2024-01-10;"2024-01-10 10:00:00";"2024-01-10 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
7;1;1;7;1;5;39;61;4;5;60.00;2024-01-10;"2024-01-10 10:00:00";"2024-01-10 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
8;1;1;7;1;13;366;50;3;6;80.00;2024-01-08;"2024-01-08 10:00:00";"2024-01-08 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
9;1;1;7;1;6;92;62;6;5;60.00;2024-01-08;"2024-01-08 10:00:00";"2024-01-08 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
10;1;1;7;1;16;437;62;5;7;90.00;2024-01-10;"2024-01-10 10:00:00";"2024-01-10 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
11;1;1;7;1;11;346;52;5;6;80.00;2024-01-08;"2024-01-08 10:00:00";"2024-01-08 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
12;1;1;7;1;16;433;51;5;6;80.00;2024-01-02;"2024-01-02 10:00:00";"2024-01-02 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
13;1;1;7;1;6;100;61;6;7;90.00;2024-01-10;"2024-01-10 10:00:00";"2024-01-10 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
14;1;1;7;1;11;335;19;8;7;90.00;2024-01-09;"2024-01-09 10:00:00";"2024-01-09 10:00:00";NULL;"Auto-generated progress for flat 1, floor 1.";1
