txn_id;material_id;txn_date;transaction_type;reference_no;unit;received_qty;issued_qty;unit_rate;tax_percent;total_cost;work_description;remarks;is_active;created_at;updated_at;project_id;wing_id;floor_id;contractor_id;engineer_id
1;52;2025-06-05;ISSUE;IS-2506-0001;NOS;0.00;51.12;352.00;18.00;17994.24;"Electrical works - Floor 7";"Auto-generated transaction seed data";1;"2025-06-05 09:00:00";"2025-11-22 18:00:00";1;1;7;4;50
2;25;2025-09-01;ISSUE;IS-2509-0001;KG;0.00;53.40;95.00;18.00;5073.00;"Site use - Floor 32";"Auto-generated transaction seed data";1;"2025-09-01 09:00:00";"2025-11-22 18:00:00";1;1;32;9;56
3;53;2025-11-01;ISSUE;IS-2511-0001;MTR;0.00;8.55;179.00;18.00;1530.45;"Electrical works - Floor 24";"Auto-generated transaction seed data";1;"2025-11-01 09:00:00";"2025-11-22 18:00:00";1;1;24;4;55
4;55;2024-08-05;GATE-OUT;GO-2408-0001;NOS;0.00;32.34;370.00;18.00;11965.80;"Electrical works - Floor 34";"Auto-generated transaction seed data";1;"2024-08-05 09:00:00";"2025-11-22 18:00:00";1;1;34;4;61
5;55;2025-03-01;ISSUE;IS-2503-0001;NOS;0.00;59.69;370.00;18.00;22085.30;"Electrical works - Floor 17";"Auto-generated transaction seed data";1;"2025-03-01 09:00:00";"2025-11-22 18:00:00";1;1;17;4;50
6;51;2025-11-10;RECEIPT;RC-2511-0001;NOS;96.17;0.00;346.00;18.00;33274.82;"Electrical works - Floor 14";"Auto-generated transaction seed data";1;"2025-11-10 09:00:00";"2025-11-22 18:00:00";1;1;14;4;49
7;51;2025-07-02;RECEIPT;RC-2507-0001;NOS;49.71;0.00;346.00;18.00;17199.66;"Electrical works - Floor 34";"Auto-generated transaction seed data";1;"2025-07-02 09:00:00";"2025-11-22 18:00:00";1;1;34;4;62
8;81;2025-10-01;RECEIPT;RC-2510-0001;NOS;41.47;0.00;526.00;18.00;21813.22;"Site use - Floor 18";"Auto-generated transaction seed data";1;"2025-10-01 09:00:00";"2025-11-22 18:00:00";1;1;18;1;59
9;12;2025-01-01;ISSUE;IS-2501-0001;LTR;0.00;57.51;56.00;18.00;3220.56;"Site use - Floor 31";"Auto-generated transaction seed data";1;"2025-01-01 09:00:00";"2025-11-22 18:00:00";1;1;31;1;61
10;53;2024-12-09;ISSUE;IS-2412-0001;MTR;0.00;56.54;179.00;18.00;10120.66;"Electrical works - Floor 32";"Auto-generated transaction seed data";1;"2024-12-09 09:00:00";"2025-11-22 18:00:00";1;1;32;4;56
11;53;2024-02-26;RECEIPT;RC-2402-0001;MTR;62.94;0.00;179.00;18.00;11266.26;"Electrical works - Floor 9";"Auto-generated transaction seed data";1;"2024-02-26 09:00:00";"2025-11-22 18:00:00";1;1;9;4;49
12;3;2025-05-12;ISSUE;IS-2505-0001;BAGS;0.00;36.64;29.00;18.00;1062.56;"Plaster / mortar - Floor 27";"Auto-generated transaction seed data";1;"2025-05-12 09:00:00";"2025-11-22 18:00:00";1;1;27;9;62
13;55;2025-06-21;ISSUE;IS-2506-0002;NOS;0.00;45.22;370.00;18.00;16731.40;"Electrical works - Floor 18";"Auto-generated transaction seed data";1;"2025-06-21 09:00:00";"2025-11-22 18:00:00";1;1;18;4;56
14;51;2024-04-03;ISSUE;IS-2404-0001;NOS;0.00;49.07;346.00;18.00;16978.22;"Electrical works - Floor 26";"Auto-generated transaction seed data";1;"2024-04-03 09:00:00";"2025-11-22 18:00:00";1;1;26;4;62
15;2;2024-02-29;ISSUE;IS-2402-0001;BAGS;0.00;30.21;26.00;18.00;785.46;"Plaster / mortar - Floor 16";"Auto-generated transaction seed data";1;"2024-02-29 09:00:00";"2025-11-22 18:00:00";1;1;16;9;56
16;54;2025-06-06;RECEIPT;RC-2506-0001;MTR;28.77;0.00;182.00;18.00;5236.14;"Electrical works - Floor 26";"Auto-generated transaction seed data";1;"2025-06-06 09:00:00";"2025-11-22 18:00:00";1;1;26;4;55
17;51;2024-06-11;ISSUE;IS-2406-0001;NOS;0.00;22.90;346.00;18.00;7923.40;"Electrical works - Floor 36";"Auto-generated transaction seed data";1;"2024-06-11 09:00:00";"2025-11-22 18:00:00";1;1;36;4;48
18;23;2025-05-21;GATE-OUT;GO-2505-0001;KG;0.00;7.82;89.00;18.00;695.98;"Site use - Floor 12";"Auto-generated transaction seed data";1;"2025-05-21 09:00:00";"2025-11-22 18:00:00";1;1;12;9;61
19;54;2024-01-21;ISSUE;IS-2401-0001;MTR;0.00;51.13;182.00;18.00;9305.66;"Electrical works - Floor 23";"Auto-generated transaction seed data";1;"2024-01-21 09:00:00";"2025-11-22 18:00:00";1;1;23;4;48
20;47;2024-05-11;ISSUE;IS-2405-0001;MTR;0.00;45.01;161.00;18.00;7246.61;"Electrical works - Floor 23";"Auto-generated transaction seed data";1;"2024-05-11 09:00:00";"2025-11-22 18:00:00";1;1;23;4;61
21;55;2024-05-08;ISSUE;IS-2405-0002;NOS;0.00;15.21;370.00;18.00;5627.70;"Electrical works - Floor 24";"Auto-generated transaction seed data";1;"2024-05-08 09:00:00";"2025-11-22 18:00:00";1;1;24;4;59
22;28;2025-01-22;ISSUE;IS-2501-0002;NOS;0.00;18.45;208.00;18.00;3837.60;"Site use - Floor 32";"Auto-generated transaction seed data";1;"2025-01-22 09:00:00";"2025-11-22 18:00:00";1;1;32;9;59
23;54;2025-07-15;ISSUE;IS-2507-0001;MTR;0.00;20.83;182.00;18.00;3791.06;"Electrical works - Floor 25";"Auto-generated transaction seed data";1;"2025-07-15 09:00:00";"2025-11-22 18:00:00";1;1;25;4;49
24;51;2025-07-02;RECEIPT;RC-2507-0002;NOS;34.11;0.00;346.00;18.00;11802.06;"Electrical works - Floor 27";"Auto-generated transaction seed data";1;"2025-07-02 09:00:00";"2025-11-22 18:00:00";1;1;27;4;48
25;42;2024-10-08;ISSUE;IS-2410-0001;NOS;0.00;50.95;292.00;18.00;14877.40;"Site use - Floor 27";"Auto-generated transaction seed data";1;"2024-10-08 09:00:00";"2025-11-22 18:00:00";1;1;27;1;59
26;54;2024-06-06;ISSUE;IS-2406-0002;MTR;0.00;45.67;182.00;18.00;8311.94;"Electrical works - Floor 15";"Auto-generated transaction seed data";1;"2024-06-06 09:00:00";"2025-11-22 18:00:00";1;1;15;4;59
27;67;2024-02-11;RECEIPT;RC-2402-0002;NOS;5.65;0.00;442.00;18.00;2497.30;"Site use - Floor 27";"Auto-generated transaction seed data";1;"2024-02-11 09:00:00";"2025-11-22 18:00:00";1;1;27;10;50
