task_id;task_name;task_description;is_active;task_code
1;"Slab Cleaning";"Cleaning slab before starting the next construction stage";1;O
2;"Brick Work";"Brick masonry, layout, and alignment work";1;A
3;"Cement Plaster";"Internal and external wall plastering with cement mortar";1;B
4;"POP Plaster";"Plaster of Paris finishing work on walls and ceilings";1;C
5;"Electrical Conduits";"Installation of electrical conduits and boxes prior to wiring";1;D
6;Waterproofing;"Waterproofing of wet areas including toilets, balconies, and terraces";1;E
7;Plumbing;"Plumbing pipe installation, outlets, and fittings setup";1;F
8;"Tiling - Floors";"Floor tiling works including surface leveling and joint finishing";1;G1
9;"Tiling - Wall";"Wall tiling works for bathrooms, kitchens, and utility areas";1;G2
10;"Tiling - Skirting";"Skirting tile fixing along the floor edges";1;G3
11;"Tiling - Granite";"Granite countertop and sill fixing works";1;G4
12;"(D&W) - Door Frames";"Installation of door frames including alignment and fixing";1;H1
13;"(D&W) - Door Shutter + Hardware";"Installation of door shutters, handles, and locks";1;H2
14;"(D&W) - Windows and Sliding Doors Frame";"Fixing window and sliding door frames";1;H3
15;"(D&W) - Windows and Sliding Doors Shutter";"Installation of window shutters and sliding panels";1;H4
16;"CP Fittings";"Installation of sanitary and CP fittings across bathrooms and kitchens";1;I
17;"Wiring and Electrical Fixtures";"Electrical wiring, switchboard setup, and fixture fitting";1;J
18;"Painting & Touchup";"Surface preparation, primer, and painting with final touchups";1;K
19;Cleaning;"Final cleaning and handover preparation of the flat/unit";1;L
