column_id;project_id;wing_id;floor_id;column_no;concrete_grade;size;reinforcement_details;casting_date;checked_by;check_status;check_date;remarks;is_active;created_at;updated_at
1;1;1;1;C001-F1-A1;M25;1200x1200;NULL;2023-03-27;51;Checked;2023-03-25;Auto-generated;1;"2023-03-27 00:00:00";"2023-03-27 00:00:00"
2;1;1;1;C002-F1-A2;M25;1200x1200;NULL;2023-03-26;14;Checked;2023-03-23;Auto-generated;1;"2023-03-26 00:00:00";"2023-03-26 00:00:00"
3;1;1;1;C003-F1-A3;M25;1200x1200;NULL;2023-03-27;51;Checked;2023-03-24;Auto-generated;1;"2023-03-27 00:00:00";"2023-03-27 00:00:00"
4;1;1;1;C004-F1-A4;M25;1200x1200;NULL;2023-03-27;51;Checked;2023-03-21;Auto-generated;1;"2023-03-27 00:00:00";"2023-03-27 00:00:00"
5;1;1;1;C005-F1-A5;M25;1200x1200;NULL;2023-03-27;14;Checked;2023-03-22;Auto-generated;1;"2023-03-27 00:00:00";"2023-03-27 00:00:00"
6;1;1;1;C006-F1-A6;M25;1200x1200;NULL;2023-03-26;14;Checked;2023-03-25;Auto-generated;1;"2023-03-26 00:00:00";"2023-03-26 00:00:00"
7;1;1;1;C007-F1-B1;M25;1200x1200;NULL;2023-03-23;14;Checked;2023-03-21;Auto-generated;1;"2023-03-23 00:00:00";"2023-03-23 00:00:00"
8;1;1;1;C008-F1-B2;M25;1200x1200;NULL;2023-03-26;51;Checked;2023-03-21;Auto-generated;1;"2023-03-26 00:00:00";"2023-03-26 00:00:00"
9;1;1;1;C009-F1-B3;M25;1200x1200;NULL;2023-03-24;14;Checked;2023-03-21;Auto-generated;1;"2023-03-24 00:00:00";"2023-03-24 00:00:00"
10;1;1;1;C010-F1-B4;M25;1200x1200;NULL;2023-03-23;49;Checked;2023-03-22;Auto-generated;1;"2023-03-23 00:00:00";"2023-03-23 00:00:00"
11;1;1;1;C011-F1-B5;M25;1200x1200;NULL;2023-03-26;51;Checked;2023-03-25;Auto-generated;1;"2023-03-26 00:00:00";"2023-03-26 00:00:00"
12;1;1;1;C012-F1-B6;M25;1200x1200;NULL;2023-03-25;49;Checked;2023-03-22;Auto-generated;1;"2023-03-25 00:00:00";"2023-03-25 00:00:00"
13;1;1;1;C013-F1-C1;M25;1200x1200;NULL;2023-03-26;49;Checked;2023-03-24;Auto-generated;1;"2023-03-26 00:00:00";"2023-03-26 00:00:00"
14;1;1;1;C014-F1-C2;M25;1200x1200;NULL;2023-03-27;49;Checked;2023-03-25;Auto-generated;1;"2023-03-27 00:00:00";"2023-03-27 00:00:00"
15;1;1;1;C015-F1-C3;M25;1200x1200;NULL;2023-03-25;49;Checked;2023-03-25;Auto-generated;1;"2023-03-25 00:00:00";"2023-03-25 00:00:00"
16;1;1;1;C016-F1-C4;M25;1200x1200;NULL;2023-03-25;14;Checked;2023-03-21;Auto-generated;1;"2023-03-25 00:00:00";"2023-03-25 00:00:00"
